Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
7,100006,B3,200,187,0,13,13,0,0.93500000000000005,191488,1359.8898816734379
7,100006,B4,200,187,0,13,13,0,0.93500000000000005,191488,1359.8898816734379
70,100069,B1,200,196,0,4,4,0,0.97999999999999998,200704,1251.9692475217089
70,100069,B2,200,196,0,4,4,0,0.97999999999999998,200704,1251.9692475217089
70,100069,B3,200,196,0,4,4,0,0.97999999999999998,200704,1251.9692475217089
70,100069,B4,200,196,0,4,4,0,0.97999999999999998,200704,1251.9692475217089
71,100070,B1,200,167,0,33,33,0,0.83499999999999996,171008,476.07796785225105
71,100070,B2,200,167,0,33,33,0,0.83499999999999996,171008,476.07796785225105
71,100070,B3,200,167,0,33,33,0,0.83499999999999996,171008,476.07796785225105
71,100070,B4,200,167,0,33,33,0,0.83499999999999996,171008,476.07796785225105
72,100071,B1,200,188,0,12,12,0,0.93999999999999995,192512,1113.0588206176174
72,100071,B2,200,188,0,12,12,0,0.93999999999999995,192512,1113.0588206176174
72,100071,B3,200,188,0,12,12,0,0.93999999999999995,192512,1113.0588206176174
72,100071,B4,200,188,0,12,12,0,0.93999999999999995,192512,1113.0588206176174
73,100072,B1,200,187,0,13,13,0,0.93500000000000005,191488,318.45207499414204
73,100072,B2,200,187,0,13,13,0,0.93500000000000005,191488,318.45207499414204
73,100072,B3,200,187,0,13,13,0,0.93500000000000005,191488,318.45207499414204
73,100072,B4,200,187,0,13,13,0,0.93500000000000005,191488,318.45207499414204
74,100073,B1,200,164,0,36,36,0,0.81999999999999995,167936,941.58860545428831
74,100073,B2,200,164,0,36,36,0,0.81999999999999995,167936,941.58860545428831
74,100073,B3,200,164,0,36,36,0,0.81999999999999995,167936,941.58860545428831
74,100073,B4,200,164,0,36,36,0,0.81999999999999995,167936,941.58860545428831
75,100074,B1,200,198,0,2,2,0,0.98999999999999999,202752,1108.2419264147734
75,100074,B2,200,198,0,2,2,0,0.98999999999999999,202752,1108.2419264147734
75,100074,B3,200,198,0,2,2,0,0.98999999999999999,202752,1108.2419264147734
75,100074,B4,200,198,0,2,2,0,0.98999999999999999,202752,1108.2419264147734
76,100075,B1,200,183,0,17,17,0,0.91500000000000004,187392,747.81638317118916
76,100075,B2,200,183,0,17,17,0,0.91500000000000004,187392,747.81638317118916
76,100075,B3,200,183,0,17,17,0,0.91500000000000004,187392,747.81638317118916
76,100075,B4,200,183,0,17,17,0,0.91500000000000004,187392,747.81638317118916
