Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,1,2,256781830927.78528,27.794318319105759,0.99999990695596785,-9.5310048422255242,-5.9186448942577519,0.99999879397834557,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,0,2,346483690510.33167,12.812132567225492,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,1,2,228003438045.67664,17.793430590791619,0.99902013489460506,-5.4764767920037754,-1.8641168440360012,0.98632639103232833,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Direct_Earth_to_Mars,1,1,226224890899.86777,17.916112599472548,0.94803427423806275,-3.6956423092176469,-0.38431235691385385,0.58724946668593669,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay0_Mars,1,2,256781830927.78528,27.794318319105759,0.99997886536966185,-7.102539075194847,-3.4901791272270737,0.99967653978359206,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay1_Mars,0,2,346483690510.33167,12.812132567225492,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay2_Mars,1,2,228003438045.67664,17.793430590791619,0.94307814629468123,-3.6546324882664245,-0.042272540298650504,0.092748991360355526,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Direct_Earth_to_Mars,1,1,226224890899.86777,17.916112599472548,0.070894985689405346,-1.946596129582036,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay0_Mars,1,2,256781830927.78528,27.794318319105759,0.99376434576206107,-4.5738538987433319,-0.96149395077555799,0.89072871526793496,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay1_Mars,0,2,346483690510.33167,12.812132567225492,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,17.793430590791619,0.058624445949055824,-1.9161101116256214,0,0,0
1,100000,Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,286.65780159156077,1,-123.31781016667638,-120.00648021437257,1,1
1,100000,Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,444.70909310569215,1,-191.95861392894585,-188.34625398097808,1,1
1,100000,Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,204.99412107560786,0,0,0,0,0
